refdes,pin,voltage,current
P1,A2,11.995,1.0
P1,A3,11.995,1.0
P1,B1,11.995,1.0
P1,B2,11.995,1.0
P1,B3,11.995,1.0
P1,A4,0.0,-0.666667
P1,A18,0.0,-0.666667
P1,A12,0.0,-0.666667
P1,A15,0.0,-0.666667
P1,B4,0.0,-0.666667
P1,B7,0.0,-0.666667
P1,B13,0.0,-0.666667
P1,B18,0.0,-0.666667
P1,B16,0.0,-0.666667
P1,A9,3.299,0.333333
P1,A10,3.299,0.333333
P1,B8,3.299,0.333333
J1,E1,11.9361,-2.47492
J1,E2,11.939,-2.52508
J1,E3,0.0156696,1.2188130000000001
J1,E4,0.0158997,1.213403
J1,S2,0.0148173,1.2388469999999998
J1,S1,0.0203908,1.107866
J1,11,0.0155737,1.221069
J1,278,3.22711,-0.999998
