refdes;partname;type;VALUE
C10;CC0402MRX5R5BB224;C; CC0402MRX5R5BB224
C11;Comment;C; Comment
C12;Comment;C; Comment
C13;CC0402MRX5R5BB224;C; CC0402MRX5R5BB224
C14;CC0402MRX5R5BB224;C; CC0402MRX5R5BB224
C15;CC0402MRX5R5BB224;C; CC0402MRX5R5BB224
C16;CC0402MRX5R5BB224;C; CC0402MRX5R5BB224
C17;Comment;C; Comment
C18;Comment;C; Comment
C3;CC0402MRX5R5BB224;C; CC0402MRX5R5BB224
C4;CC0402MRX5R5BB224;C; CC0402MRX5R5BB224
C5;CC0402MRX5R5BB224;C; CC0402MRX5R5BB224
C6;CC0402MRX5R5BB224;C; CC0402MRX5R5BB224
C7;CC0402MRX5R5BB224;C; CC0402MRX5R5BB224
C8;CC0402MRX5R5BB224;C; CC0402MRX5R5BB224
C9;CC0402MRX5R5BB224;C; CC0402MRX5R5BB224
J1;Comment; ; Comment
J2;Comment; ; Comment
J3;Comment; ; Comment
J6;PinHeader_1x4_P2mm_Drill1mm; ; PinHeader_1x4_P2mm_Drill1mm
L1;Comment;L; Comment
P1;PCIeX1-GF-2D-1000-1K-O36; ; PCIeX1-GF-2D-1000-1K-O36
Q2;Comment; ; Comment
Q3;Comment; ; Comment
Q4;Comment; ; Comment
R1;Comment;R; Comment
R10;Comment;R; Comment
R11;Comment;R; Comment
R12;Comment;R; Comment
R13;Comment;R; Comment
R14;Comment;R; Comment
R15;Comment;R; Comment
R16;Comment;R; Comment
R17;Comment;R; Comment
R18;Comment;R; Comment
R19;Comment;R; Comment
R2;Comment;R; Comment
R20;Comment;R; Comment
R21;Comment;R; Comment
R22;Comment;R; Comment
R23;Comment;R; Comment
R24;Comment;R; Comment
R25;Comment;R; Comment
R26;Comment;R; Comment
R27;Comment;R; Comment
R28;Comment;R; Comment
R29;Comment;R; Comment
R30;Comment;R; Comment
R31;Comment;R; Comment
R4;Comment;R; Comment
R5;Comment;R; Comment
R6;Comment;R; Comment
R7;Comment;R; Comment
R8;Comment;R; Comment
R9;Comment;R; Comment
U1;Comment; ; Comment
C1;CC0402MRX5R5BB224;C; CC0402MRX5R5BB224
C2;CC0402MRX5R5BB224;C; CC0402MRX5R5BB224
R3;Comment;R; Comment
