x,y,layer1,layer2,voltage1,voltage2,current
82.9164,310.785,TOPLAYER,INTERNALPLANE1,0.0142576,0.0142553,0.017068
82.9164,310.785,INTERNALPLANE1,INTERNALPLANE2,0.0142553,0.0142254,0.017068
82.9164,310.785,INTERNALPLANE2,BOTTOMLAYER,0.0142254,0.014223,0.017068
82.9164,547.006,TOPLAYER,INTERNALPLANE1,0.0142867,0.0142833,0.0252341
82.9164,547.006,INTERNALPLANE1,INTERNALPLANE2,0.0142833,0.014239,0.0252341
82.9164,547.006,INTERNALPLANE2,BOTTOMLAYER,0.014239,0.0142356,0.0252341
82.9164,783.226,TOPLAYER,INTERNALPLANE1,0.0143551,0.014349,0.0455795
82.9164,783.226,INTERNALPLANE1,INTERNALPLANE2,0.014349,0.014269,0.0455795
82.9164,783.226,INTERNALPLANE2,BOTTOMLAYER,0.014269,0.0142628,0.0455795
82.9164,1019.45,TOPLAYER,INTERNALPLANE1,0.0144201,0.0144114,0.0641693
82.9164,1019.45,INTERNALPLANE1,INTERNALPLANE2,0.0144114,0.0142989,0.0641693
82.9164,1019.45,INTERNALPLANE2,BOTTOMLAYER,0.0142989,0.0142902,0.0641693
82.9164,1255.67,TOPLAYER,INTERNALPLANE1,0.0143859,0.01438,0.0436815
82.9164,1255.67,INTERNALPLANE1,INTERNALPLANE2,0.01438,0.0143034,0.0436815
82.9164,1255.67,INTERNALPLANE2,BOTTOMLAYER,0.0143034,0.0142975,0.0436815
82.9164,1491.89,TOPLAYER,INTERNALPLANE1,0.014338,0.0143351,0.021489
82.9164,1491.89,INTERNALPLANE1,INTERNALPLANE2,0.0143351,0.0142974,0.021489
82.9164,1491.89,INTERNALPLANE2,BOTTOMLAYER,0.0142974,0.0142945,0.021489
82.9164,1728.11,TOPLAYER,INTERNALPLANE1,0.014312,0.0143107,0.00996438
82.9164,1728.11,INTERNALPLANE1,INTERNALPLANE2,0.0143107,0.0142932,0.00996438
82.9164,1728.11,INTERNALPLANE2,BOTTOMLAYER,0.0142932,0.0142919,0.00996438
82.9164,1964.33,TOPLAYER,INTERNALPLANE1,0.0143014,0.0143008,0.00445154
82.9164,1964.33,INTERNALPLANE1,INTERNALPLANE2,0.0143008,0.014293,0.00445154
82.9164,1964.33,INTERNALPLANE2,BOTTOMLAYER,0.014293,0.0142924,0.00445154
82.9164,2200.55,TOPLAYER,INTERNALPLANE1,0.0142991,0.0142989,0.00159628
82.9164,2200.55,INTERNALPLANE1,INTERNALPLANE2,0.0142989,0.0142961,0.00159628
82.9164,2200.55,INTERNALPLANE2,BOTTOMLAYER,0.0142961,0.0142959,0.00159628
82.9164,2436.77,TOPLAYER,INTERNALPLANE1,0.0143019,0.0143018,0.000742729
82.9164,2436.77,INTERNALPLANE1,INTERNALPLANE2,0.0143018,0.0143005,0.000742729
82.9164,2436.77,INTERNALPLANE2,BOTTOMLAYER,0.0143005,0.0143004,0.000742729
82.9164,2672.99,TOPLAYER,INTERNALPLANE1,0.0143064,0.0143063,0.000390213
82.9164,2672.99,INTERNALPLANE1,INTERNALPLANE2,0.0143063,0.0143056,0.000390213
82.9164,2672.99,INTERNALPLANE2,BOTTOMLAYER,0.0143056,0.0143056,0.000390213
82.9164,2909.21,TOPLAYER,INTERNALPLANE1,0.014311,0.0143109,0.000190619
82.9164,2909.21,INTERNALPLANE1,INTERNALPLANE2,0.0143109,0.0143106,0.000190619
82.9164,2909.21,INTERNALPLANE2,BOTTOMLAYER,0.0143106,0.0143106,0.000190619
82.9164,3145.43,TOPLAYER,INTERNALPLANE1,0.0143151,0.014315,0.000110808
82.9164,3145.43,INTERNALPLANE1,INTERNALPLANE2,0.014315,0.0143149,0.000110808
82.9164,3145.43,INTERNALPLANE2,BOTTOMLAYER,0.0143149,0.0143148,0.000110808
82.9164,3381.65,TOPLAYER,INTERNALPLANE1,0.0143183,0.0143183,6.4115e-05
82.9164,3381.65,INTERNALPLANE1,INTERNALPLANE2,0.0143183,0.0143181,6.4115e-05
82.9164,3381.65,INTERNALPLANE2,BOTTOMLAYER,0.0143181,0.0143181,6.4115e-05
82.9164,3617.87,TOPLAYER,INTERNALPLANE1,0.0143204,0.0143204,4.58026e-05
82.9164,3617.87,INTERNALPLANE1,INTERNALPLANE2,0.0143204,0.0143203,4.58026e-05
82.9164,3617.87,INTERNALPLANE2,BOTTOMLAYER,0.0143203,0.0143203,4.58026e-05
146.744,2237.11,TOPLAYER,INTERNALPLANE1,0.0142989,0.0142987,0.00235627
146.744,2237.11,INTERNALPLANE1,INTERNALPLANE2,0.0142987,0.0142967,0.00235627
146.744,2237.11,INTERNALPLANE2,BOTTOMLAYER,0.0142967,0.0142966,0.00235627
146.744,2807.98,TOPLAYER,INTERNALPLANE1,0.0143087,0.0143087,0.000482006
146.744,2807.98,INTERNALPLANE1,INTERNALPLANE2,0.0143087,0.0143083,0.000482006
146.744,2807.98,INTERNALPLANE2,BOTTOMLAYER,0.0143083,0.0143082,0.000482006
319.137,547.006,TOPLAYER,INTERNALPLANE1,0.0142603,0.0142567,0.0259709
319.137,547.006,INTERNALPLANE1,INTERNALPLANE2,0.0142567,0.0142112,0.0259709
319.137,547.006,INTERNALPLANE2,BOTTOMLAYER,0.0142112,0.0142077,0.0259709
319.137,783.226,TOPLAYER,INTERNALPLANE1,0.0143528,0.0143451,0.056953
319.137,783.226,INTERNALPLANE1,INTERNALPLANE2,0.0143451,0.0142451,0.056953
319.137,783.226,INTERNALPLANE2,BOTTOMLAYER,0.0142451,0.0142375,0.056953
319.137,1255.67,TOPLAYER,INTERNALPLANE1,0.0143909,0.0143837,0.0536124
319.137,1255.67,INTERNALPLANE1,INTERNALPLANE2,0.0143837,0.0142896,0.0536124
319.137,1255.67,INTERNALPLANE2,BOTTOMLAYER,0.0142896,0.0142824,0.0536124
319.137,1491.89,TOPLAYER,INTERNALPLANE1,0.0143274,0.0143244,0.0221709
319.137,1491.89,INTERNALPLANE1,INTERNALPLANE2,0.0143244,0.0142855,0.0221709
319.137,1491.89,INTERNALPLANE2,BOTTOMLAYER,0.0142855,0.0142825,0.0221709
319.137,1728.11,TOPLAYER,INTERNALPLANE1,0.0143046,0.0143032,0.0101162
