refdes,pin,voltage,current,rpin
VCOMP0,VCOMP0-0,11.995,1,0
VCOMP0,VCOMP0-1,11.995,1,0
VCOMP0,VCOMP0-2,11.995,1,0
VCOMP0,VCOMP0-3,11.995,1,0
VCOMP0,VCOMP0-4,11.995,1,0
VCOMP0,VCOMP0-5,0,-0.555556,0
VCOMP0,VCOMP0-6,0,-0.555556,0
VCOMP0,VCOMP0-7,0,-0.555556,0
VCOMP0,VCOMP0-8,0,-0.555556,0
VCOMP0,VCOMP0-9,0,-0.555556,0
VCOMP0,VCOMP0-10,0,-0.555556,0
VCOMP0,VCOMP0-11,0,-0.555556,0
VCOMP0,VCOMP0-12,0,-0.555556,0
VCOMP0,VCOMP0-13,0,-0.555556,0
VCOMP2,VCOMP2-0,3.299,0.333333,0
VCOMP2,VCOMP2-1,3.299,0.333333,0
VCOMP2,VCOMP2-2,3.299,0.333333,0
VCOMP2,VCOMP2-3,0,-0.111111,0
VCOMP2,VCOMP2-4,0,-0.111111,0
VCOMP2,VCOMP2-5,0,-0.111111,0
VCOMP2,VCOMP2-6,0,-0.111111,0
VCOMP2,VCOMP2-7,0,-0.111111,0
VCOMP2,VCOMP2-8,0,-0.111111,0
VCOMP2,VCOMP2-9,0,-0.111111,0
VCOMP2,VCOMP2-10,0,-0.111111,0
VCOMP2,VCOMP2-11,0,-0.111111,0
VCOMP1,VCOMP1-0,11.9361,-2.47492,0.0571429
VCOMP1,VCOMP1-1,11.939,-2.52508,0.0571429
VCOMP1,VCOMP1-2,0.0156696,1.01401,0.0571429
VCOMP1,VCOMP1-3,0.0158997,1.00998,0.0571429
VCOMP1,VCOMP1-4,0.0148173,1.02893,0.0571429
VCOMP1,VCOMP1-5,0.0203908,0.93139,0.0571429
VCOMP1,VCOMP1-6,0.0155737,1.01569,0.0571429
VCOMP3,VCOMP3-0,3.22711,-0.999998,0.166667
VCOMP3,VCOMP3-1,0.0156696,0.204803,0.166667
VCOMP3,VCOMP3-2,0.0158997,0.203423,0.166667
VCOMP3,VCOMP3-3,0.0148173,0.209917,0.166667
VCOMP3,VCOMP3-4,0.0203908,0.176476,0.166667
VCOMP3,VCOMP3-5,0.0155737,0.205379,0.166667
